CustomerID,Recency,Frequency,Monetary,Tenure,R,F,M,T,RFM_Segment,RFM_Score,RFM_Level,Cluster
12346.0,326,2,0.0,326,1,1,1,3,1113,6,Promising,Cluster 1
12347.0,2,182,4310.0,367,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12348.0,75,31,1797.24,358,2,2,4,4,2244,12,Champions,Cluster 2
12349.0,19,73,1757.55,19,3,3,4,1,3341,11,Loyal,Cluster 0
12350.0,310,17,334.4,310,1,1,2,3,1123,7,Promising,Cluster 1
12352.0,36,95,1545.41,297,3,3,3,3,3333,12,Champions,Cluster 2
12353.0,204,4,89.0,204,1,1,1,2,1112,5,Needs Attention,Cluster 1
12354.0,232,58,1079.4,232,1,3,3,2,1332,9,Potential,Cluster 1
12355.0,214,13,459.4,214,1,1,2,2,1122,6,Promising,Cluster 1
12356.0,23,59,2811.43,326,3,3,4,3,3343,13,Champions,Cluster 2
12357.0,33,131,6207.67,33,3,4,4,1,3441,12,Champions,Cluster 0
12358.0,2,19,1168.06,151,4,2,3,2,4232,11,Loyal,Cluster 0
12359.0,8,254,6245.53,332,4,4,4,3,4443,15,Can't Loose Them,Cluster 2
12360.0,52,129,2662.06,201,2,4,4,2,2442,12,Champions,Cluster 0
12361.0,287,10,189.9,287,1,1,1,3,1113,6,Promising,Cluster 1
12362.0,3,274,5154.58,296,4,4,4,3,4443,15,Can't Loose Them,Cluster 2
12363.0,110,23,552.0,242,2,2,2,2,2222,8,Potential,Cluster 3
12364.0,8,85,1313.1,112,4,3,3,1,4331,11,Loyal,Cluster 0
12365.0,291,23,320.69,291,1,2,2,3,1223,8,Potential,Cluster 1
12367.0,4,11,168.9,4,4,1,1,1,4111,7,Promising,Cluster 3
12370.0,51,167,3545.69,360,2,4,4,4,2444,14,Can't Loose Them,Cluster 2
12371.0,45,63,1887.96,60,3,3,4,1,3341,11,Loyal,Cluster 0
12372.0,72,52,1298.04,297,2,3,3,3,2333,11,Loyal,Cluster 2
12373.0,311,14,364.6,311,1,1,2,3,1123,7,Promising,Cluster 1
12374.0,25,33,742.9300000000001,25,3,2,3,1,3231,9,Potential,Cluster 0
12375.0,3,18,455.42,98,4,2,2,1,4221,9,Potential,Cluster 3
12377.0,315,77,1628.12,355,1,3,4,4,1344,12,Champions,Cluster 2
12378.0,130,219,4008.62,130,2,4,4,2,2442,12,Champions,Cluster 0
12379.0,82,41,850.29,170,2,2,3,2,2232,9,Potential,Cluster 0
12380.0,22,105,2720.56,186,3,4,4,2,3442,13,Champions,Cluster 0
12381.0,5,91,1803.96,120,4,3,4,2,4342,13,Champions,Cluster 0
12383.0,185,100,1839.31,352,1,3,4,4,1344,12,Champions,Cluster 2
12384.0,29,30,566.16,122,3,2,2,2,3222,9,Potential,Cluster 3
12386.0,338,10,401.9,367,1,1,2,4,1124,8,Potential,Cluster 1
12388.0,16,100,2780.66,327,4,3,4,3,4343,14,Can't Loose Them,Cluster 2
12390.0,80,32,549.84,80,2,2,2,1,2221,7,Promising,Cluster 3
12391.0,22,100,460.89,22,3,3,2,1,3321,9,Potential,Cluster 0
12393.0,72,64,1582.6000000000001,333,2,3,3,4,2334,12,Champions,Cluster 2
12394.0,64,27,1272.48,217,2,2,3,2,2232,9,Potential,Cluster 0
12395.0,16,159,2998.28,371,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12397.0,36,126,2409.9,135,3,4,4,2,3442,13,Champions,Cluster 0
12398.0,46,85,1635.6599999999999,46,3,3,4,1,3341,11,Loyal,Cluster 0
12399.0,119,59,1108.65,262,2,3,3,3,2333,11,Loyal,Cluster 2
12401.0,303,5,84.3,303,1,1,1,3,1113,6,Promising,Cluster 1
12402.0,323,11,225.6,323,1,1,1,3,1113,6,Promising,Cluster 1
12403.0,50,6,409.7,50,3,1,2,1,3121,7,Promising,Cluster 3
12405.0,149,54,1710.39,149,1,3,4,2,1342,10,Loyal,Cluster 0
12406.0,22,108,3280.75,184,3,4,4,2,3442,13,Champions,Cluster 0
12407.0,50,77,1708.1200000000001,264,3,3,4,3,3343,13,Champions,Cluster 2
12408.0,33,113,2842.57,260,3,4,4,3,3443,14,Can't Loose Them,Cluster 2
12409.0,79,114,11056.93,183,2,4,4,2,2442,12,Champions,Cluster 0
12410.0,301,28,681.0799999999999,309,1,2,3,3,1233,9,Potential,Cluster 1
12412.0,75,61,1226.88,169,2,3,3,2,2332,10,Loyal,Cluster 0
12413.0,67,40,694.15,337,2,2,3,4,2234,11,Loyal,Cluster 1
12414.0,217,18,562.41,310,1,2,2,3,1223,8,Potential,Cluster 1
12415.0,24,778,123725.45,338,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12417.0,3,198,3578.8,358,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12418.0,113,34,668.58,113,2,2,3,1,2231,8,Potential,Cluster 3
12420.0,64,29,600.39,64,2,2,2,1,2221,7,Promising,Cluster 3
12421.0,16,46,806.27,319,4,3,3,3,4333,13,Champions,Cluster 2
12422.0,96,39,803.5600000000001,325,2,2,3,3,2233,10,Loyal,Cluster 1
12423.0,1,126,1849.11,354,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12424.0,163,30,1760.96,163,1,2,4,2,1242,9,Potential,Cluster 1
12425.0,78,36,777.2,78,2,2,3,1,2231,8,Potential,Cluster 3
12426.0,195,30,582.73,195,1,2,2,2,1222,7,Promising,Cluster 1
12427.0,12,35,708.37,372,4,2,3,4,4234,13,Champions,Cluster 2
12428.0,26,300,7877.2,284,3,4,4,3,3443,14,Can't Loose Them,Cluster 2
12429.0,9,97,3750.4,366,4,3,4,4,4344,15,Can't Loose Them,Cluster 2
12430.0,43,11,256.4,43,3,1,1,1,3111,6,Promising,Cluster 3
12431.0,36,240,6416.39,374,3,4,4,4,3444,15,Can't Loose Them,Cluster 2
12432.0,43,108,5059.32,172,3,4,4,2,3442,13,Champions,Cluster 0
12433.0,1,420,13375.87,373,4,4,4,4,4444,16,Can't Loose Them,Cluster 2
12434.0,85,54,765.19,361,2,3,3,4,2334,12,Champions,Cluster 2
12435.0,80,36,7829.89,268,2,2,4,3,2243,11,Loyal,Cluster 2
12436.0,100,16,509.01,100,2,1,2,1,2121,6,Promising,Cluster 3
12437.0,2,201,4896.66,331,4,4,4,3,4443,15,Can't Loose Them,Cluster 2
12438.0,14,98,2906.85,140,4,3,4,2,4342,13,Champions,Cluster 0
12441.0,367,11,173.55,367,1,1,1,4,1114,7,Promising,Cluster 1
12442.0,3,12,172.06,3,4,1,1,1,4111,7,Promising,Cluster 3
12444.0,21,177,5005.46,171,3,4,4,2,3442,13,Champions,Cluster 0
12445.0,22,4,133.4,22,3,1,1,1,3111,6,Promising,Cluster 3
12446.0,58,58,1002.3100000000001,58,2,3,3,1,2331,9,Potential,Cluster 0
12447.0,243,26,476.49,243,1,2,2,2,1222,7,Promising,Cluster 1
12448.0,44,22,449.45,44,3,2,2,1,3221,8,Potential,Cluster 3
12449.0,22,191,4067.29,187,3,4,4,2,3442,13,Champions,Cluster 0
12450.0,156,8,197.88,173,1,1,1,2,1112,5,Needs Attention,Cluster 1
12451.0,11,355,8933.52,325,4,4,4,3,4443,15,Can't Loose Them,Cluster 2
12452.0,17,23,428.57,17,4,2,2,1,4221,9,Potential,Cluster 3
12453.0,134,43,707.09,134,2,3,3,2,2332,10,Loyal,Cluster 0
12454.0,53,30,5.684341886080802e-14,56,2,2,1,1,2211,6,Promising,Cluster 3
